age,gender,employment_status,annual_income,usage_per_month,top_genre,num_of_days_active
20,Male,Employed full-time,115000,847,Rock,210
22,Male,Employed full-time,42100,256,Rock,222
18,Male,Employed full-time,114750,1232,Country,161
19,Female,Employed full-time,118250,2310,Rock,176
33,Male,Employed full-time,111450,568,Pop,185
25,Male,Student,15800,73,Rock,215
16,Female,Student,11450,248,Pop,92
28,Female,Employed full-time,37000,2417,Pop,135
23,Male,Employed full-time,94950,2081,Pop,174
20,Female,Employed full-time,12050,1820,Classical,123
37,Male,Employed full-time,103450,196,Pop,151
50,Female,Employed full-time,81500,433,Pop,176
41,Female,Employed full-time,154450,2288,Pop,189
37,Male,Unemployed,97450,1256,Rock,216
32,Male,Employed part-time,137300,490,Pop,126
19,Male,Employed full-time,29700,2858,Jazz,197
45,Female,Employed full-time,12400,2950,Classical,197
18,Female,Employed full-time,97000,95,Rock,204
42,Female,Employed full-time,58000,971,Pop,240
22,Male,Employed full-time,114050,8,Indie,262
21,Female,Student,25350,155,Jazz,202
26,Female,Student,11250,505,Classical,242
30,Female,Employed full-time,116450,1849,Pop,125
39,Male,Employed full-time,119050,290,Indie,230
26,Female,Employed full-time,15400,283,Pop,161
32,Male,Employed full-time,96200,2406,Hip Hop,145
19,Female,Student,39500,135,Pop,206
28,Male,Employed full-time,110300,1282,Pop,232
30,Male,Employed full-time,130000,1290,Classical,69
36,Male,Employed full-time,29450,297,Classical,252
22,Male,Employed part-time,1950,2887,Pop,146
30,Male,Employed full-time,29250,2949,Rock,241
40,Female,Employed part-time,14200,287,Classical,86
48,Male,Employed full-time,111450,61,Pop,272
41,Female,Employed full-time,17500,508,Classical,121
23,Female,Employed full-time,116300,576,Rock,178
27,Female,Employed part-time,11400,1401,Pop,190
48,Female,Employed full-time,97200,2061,Classical,195
28,Female,Employed full-time,7050,1273,Rock,218
35,Male,Employed full-time,187800,1256,Pop,141
24,Male,Employed full-time,29950,2957,Pop,157
57,Female,Employed full-time,19450,649,Classical,151
21,Female,Employed full-time,14750,326,Country,174
45,Male,Employed full-time,116750,2549,Pop,208
39,Male,Employed full-time,111000,758,Pop,207
50,Female,Employed full-time,4050,481,Pop,176
44,Female,Employed full-time,116200,496,Pop,131
29,Female,Employed full-time,111800,98,Pop,154
35,Female,Employed full-time,93850,1674,Classical,242
18,Female,Employed full-time,106650,1113,Rock,178
26,Female,Student,13800,2487,Rock,165
21,Female,Employed full-time,99000,1771,Rock,156
39,Female,Employed full-time,123750,1603,Country,108
35,Female,Employed part-time,19700,1297,Pop,221
25,Female,Unemployed,12200,2568,Country,152
29,Female,Employed full-time,12300,1801,Country,207
17,Female,Student,27400,309,Rock,238
25,Male,Student,21400,105,Pop,234
36,Female,Employed part-time,44450,184,Rock,151
